time_iso8601,forks_cumulative
2023-09-26 00:00:00+00:00,1
2023-09-27 00:00:00+00:00,7
2023-09-28 00:00:00+00:00,13
2023-09-29 00:00:00+00:00,18
2023-09-30 00:00:00+00:00,20
2023-10-01 00:00:00+00:00,24
2023-10-02 00:00:00+00:00,25
2023-10-03 00:00:00+00:00,32
2023-10-04 00:00:00+00:00,37
2023-10-05 00:00:00+00:00,38
2023-10-06 00:00:00+00:00,39
2023-10-08 00:00:00+00:00,40
2023-10-09 00:00:00+00:00,42
2023-10-10 00:00:00+00:00,43
2023-10-11 00:00:00+00:00,44
2023-10-14 00:00:00+00:00,45
2023-10-15 00:00:00+00:00,47
2023-10-16 00:00:00+00:00,48
2023-10-17 00:00:00+00:00,49
2023-10-19 00:00:00+00:00,50
2023-10-25 00:00:00+00:00,51
2023-10-27 00:00:00+00:00,52
2023-10-29 00:00:00+00:00,53
2023-10-30 00:00:00+00:00,54
2023-11-06 00:00:00+00:00,55
2023-11-07 00:00:00+00:00,57
2023-11-16 00:00:00+00:00,58
2023-11-17 00:00:00+00:00,59
2023-11-19 00:00:00+00:00,60
2023-11-26 00:00:00+00:00,61
2023-11-28 00:00:00+00:00,63
2023-12-03 00:00:00+00:00,64
2023-12-09 00:00:00+00:00,67
2023-12-10 00:00:00+00:00,68
2023-12-13 00:00:00+00:00,69
2023-12-15 00:00:00+00:00,70
2023-12-17 00:00:00+00:00,71
2023-12-19 00:00:00+00:00,73
2023-12-20 00:00:00+00:00,75
2023-12-22 00:00:00+00:00,76
2023-12-23 00:00:00+00:00,77
2023-12-30 00:00:00+00:00,78
2024-01-04 00:00:00+00:00,79
2024-01-16 00:00:00+00:00,80
2024-02-07 00:00:00+00:00,81
2024-02-11 00:00:00+00:00,82
2024-02-24 00:00:00+00:00,83
2024-03-21 00:00:00+00:00,84
2024-03-26 00:00:00+00:00,86
2024-04-08 00:00:00+00:00,87
2024-04-09 00:00:00+00:00,88
2024-04-28 00:00:00+00:00,89
2024-04-30 00:00:00+00:00,90
2024-05-05 00:00:00+00:00,92
2024-05-22 00:00:00+00:00,93
2024-05-28 00:00:00+00:00,94
2024-06-04 00:00:00+00:00,95
2024-06-14 00:00:00+00:00,96
2024-07-07 00:00:00+00:00,97
2024-07-09 00:00:00+00:00,98
2024-07-18 00:00:00+00:00,99
2024-08-06 00:00:00+00:00,102
2024-08-07 00:00:00+00:00,104
2024-08-08 00:00:00+00:00,105
2024-09-24 00:00:00+00:00,106
2024-09-27 00:00:00+00:00,107
2024-09-30 00:00:00+00:00,108
2024-10-04 00:00:00+00:00,123
2024-10-05 00:00:00+00:00,125
2024-10-17 00:00:00+00:00,126
2024-10-19 00:00:00+00:00,127
2024-10-23 00:00:00+00:00,128
2024-10-25 00:00:00+00:00,129
2024-10-30 00:00:00+00:00,130
2024-11-01 00:00:00+00:00,131
2024-11-02 00:00:00+00:00,132
2024-12-07 00:00:00+00:00,133
2024-12-10 00:00:00+00:00,134
2024-12-24 00:00:00+00:00,135
2025-01-05 00:00:00+00:00,136
2025-01-06 00:00:00+00:00,138
2025-01-14 00:00:00+00:00,139
2025-01-23 00:00:00+00:00,142
2025-02-08 00:00:00+00:00,143
2025-02-12 00:00:00+00:00,144
2025-02-13 00:00:00+00:00,145
2025-02-22 00:00:00+00:00,146
2025-02-25 00:00:00+00:00,147
2025-02-28 00:00:00+00:00,148
2025-03-11 00:00:00+00:00,150
2025-03-24 00:00:00+00:00,151
2025-03-28 00:00:00+00:00,152
2025-04-03 00:00:00+00:00,154
2025-04-04 00:00:00+00:00,155
2025-04-26 00:00:00+00:00,156
2025-04-27 00:00:00+00:00,157
2025-05-09 00:00:00+00:00,158
2025-05-10 00:00:00+00:00,159
2025-05-17 00:00:00+00:00,160
2025-05-20 00:00:00+00:00,161
2025-05-25 00:00:00+00:00,162
2025-05-27 00:00:00+00:00,163
2025-05-28 00:00:00+00:00,165
2025-05-30 00:00:00+00:00,166
2025-06-06 00:00:00+00:00,167
2025-06-16 00:00:00+00:00,168
2025-06-27 00:00:00+00:00,169
2025-07-05 00:00:00+00:00,170
2025-07-22 00:00:00+00:00,172
2025-07-23 00:00:00+00:00,173
2025-07-25 00:00:00+00:00,174
2025-08-05 00:00:00+00:00,175
2025-08-09 00:00:00+00:00,176
2025-08-14 00:00:00+00:00,177
2025-08-15 00:00:00+00:00,178
2025-08-16 00:00:00+00:00,179
2025-08-17 00:00:00+00:00,181
2025-08-18 00:00:00+00:00,182
2025-08-19 00:00:00+00:00,191
2025-08-20 00:00:00+00:00,194
2025-08-21 00:00:00+00:00,196
2025-08-22 00:00:00+00:00,199
2025-08-23 00:00:00+00:00,200
2025-08-24 00:00:00+00:00,201
2025-08-29 00:00:00+00:00,202
2025-09-02 00:00:00+00:00,203
2025-09-03 00:00:00+00:00,204
2025-09-04 00:00:00+00:00,205
2025-09-05 00:00:00+00:00,206
2025-09-11 00:00:00+00:00,207
2025-09-15 00:00:00+00:00,208
2025-09-16 00:00:00+00:00,209
2025-09-17 00:00:00+00:00,210
2025-09-20 00:00:00+00:00,211
2025-09-25 00:00:00+00:00,212
2025-09-26 00:00:00+00:00,213
2025-09-28 00:00:00+00:00,214
2025-10-05 00:00:00+00:00,215
2025-10-08 00:00:00+00:00,216
2025-10-17 00:00:00+00:00,217
2025-10-18 00:00:00+00:00,218
2025-10-19 00:00:00+00:00,219
2025-10-20 00:00:00+00:00,221
2025-10-22 00:00:00+00:00,222
2025-10-30 00:00:00+00:00,223
2025-11-03 00:00:00+00:00,224
2025-11-09 00:00:00+00:00,225
2025-11-14 00:00:00+00:00,226
2025-11-25 00:00:00+00:00,227
2025-12-15 00:00:00+00:00,229
2025-12-24 00:00:00+00:00,231
2025-12-27 00:00:00+00:00,232
2026-01-04 00:00:00+00:00,233
2026-01-10 00:00:00+00:00,235
2026-01-12 00:00:00+00:00,236
2026-01-15 00:00:00+00:00,238
2026-01-18 00:00:00+00:00,239
2026-02-12 00:00:00+00:00,240
2026-02-17 00:00:00+00:00,241
2026-02-24 00:00:00+00:00,242
2026-02-27 00:00:00+00:00,244
2026-03-02 00:00:00+00:00,246
2026-03-04 00:00:00+00:00,247
2026-03-06 00:00:00+00:00,248
2026-03-09 00:00:00+00:00,250
2026-03-12 00:00:00+00:00,251
2026-03-19 00:00:00+00:00,252
2026-03-25 00:00:00+00:00,253
2026-03-27 00:00:00+00:00,254
2026-03-30 00:00:00+00:00,255
2026-04-02 00:00:00+00:00,256
2026-04-10 00:00:00+00:00,257
2026-04-11 00:00:00+00:00,258
2026-04-20 00:00:00+00:00,260
2026-04-23 00:00:00+00:00,261
2026-04-26 00:00:00+00:00,262
2026-04-29 00:00:00+00:00,264
2026-05-04 00:00:00+00:00,266
2026-05-05 00:00:00+00:00,267
2026-05-11 00:00:00+00:00,269
2026-05-14 00:00:00+00:00,270
2026-05-17 00:00:00+00:00,271
2026-05-20 00:00:00+00:00,272
2026-05-29 00:00:00+00:00,273
2026-05-31 00:00:00+00:00,274
2026-06-07 00:00:00+00:00,275
2026-06-10 00:00:00+00:00,276
2026-06-23 00:00:00+00:00,277
2026-06-25 00:00:00+00:00,278
2026-06-29 00:00:00+00:00,279
2026-06-30 00:00:00+00:00,280
2026-07-09 00:00:00+00:00,281
2026-07-11 00:00:00+00:00,282
2026-07-15 00:00:00+00:00,283
