time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-04 00:00:00+00:00,421,50,203,61
2025-07-05 00:00:00+00:00,75,11,285,149
2025-07-06 00:00:00+00:00,23,14,175,95
2025-07-07 00:00:00+00:00,617,85,433,142
2025-07-08 00:00:00+00:00,1165,85,458,111
2025-07-09 00:00:00+00:00,1091,92,644,132
2025-07-10 00:00:00+00:00,1166,35,202,76
2025-07-11 00:00:00+00:00,1273,57,221,75
2025-07-12 00:00:00+00:00,82,10,48,31
2025-07-13 00:00:00+00:00,15,8,129,38
2025-07-14 00:00:00+00:00,1304,99,479,109
2025-07-15 00:00:00+00:00,1636,102,498,76
2025-07-16 00:00:00+00:00,984,77,353,61
2025-07-17 00:00:00+00:00,270,32,210,71
