time_iso8601,stars_cumulative
2023-09-04 00:00:00+00:00,2
2023-09-05 00:00:00+00:00,4
2023-09-13 00:00:00+00:00,6
2023-09-14 00:00:00+00:00,7
2023-09-21 00:00:00+00:00,10
2023-09-24 00:00:00+00:00,11
2023-09-25 00:00:00+00:00,12
2023-09-26 00:00:00+00:00,208
2023-09-27 00:00:00+00:00,639
2023-09-28 00:00:00+00:00,762
2023-09-29 00:00:00+00:00,841
2023-09-30 00:00:00+00:00,888
2023-10-01 00:00:00+00:00,991
2023-10-02 00:00:00+00:00,1079
2023-10-03 00:00:00+00:00,1166
2023-10-04 00:00:00+00:00,1234
2023-10-05 00:00:00+00:00,1261
2023-10-06 00:00:00+00:00,1297
2023-10-07 00:00:00+00:00,1343
2023-10-08 00:00:00+00:00,1413
2023-10-09 00:00:00+00:00,1440
2023-10-10 00:00:00+00:00,1462
2023-10-11 00:00:00+00:00,1480
2023-10-12 00:00:00+00:00,1503
2023-10-13 00:00:00+00:00,1530
2023-10-14 00:00:00+00:00,1534
2023-10-15 00:00:00+00:00,1546
2023-10-16 00:00:00+00:00,1553
2023-10-17 00:00:00+00:00,1568
2023-10-18 00:00:00+00:00,1572
2023-10-19 00:00:00+00:00,1579
2023-10-20 00:00:00+00:00,1583
2023-10-21 00:00:00+00:00,1587
2023-10-22 00:00:00+00:00,1588
2023-10-23 00:00:00+00:00,1595
2023-10-24 00:00:00+00:00,1606
2023-10-25 00:00:00+00:00,1628
2023-10-26 00:00:00+00:00,1639
2023-10-27 00:00:00+00:00,1652
2023-10-28 00:00:00+00:00,1658
2023-10-29 00:00:00+00:00,1663
2023-10-30 00:00:00+00:00,1674
2023-10-31 00:00:00+00:00,1682
2023-11-01 00:00:00+00:00,1687
2023-11-02 00:00:00+00:00,1693
2023-11-03 00:00:00+00:00,1698
2023-11-04 00:00:00+00:00,1701
2023-11-05 00:00:00+00:00,1704
2023-11-06 00:00:00+00:00,1710
2023-11-07 00:00:00+00:00,1723
2023-11-08 00:00:00+00:00,1731
2023-11-09 00:00:00+00:00,1735
2023-11-10 00:00:00+00:00,1737
2023-11-11 00:00:00+00:00,1738
2023-11-12 00:00:00+00:00,1740
2023-11-13 00:00:00+00:00,1741
2023-11-14 00:00:00+00:00,1743
2023-11-15 00:00:00+00:00,1749
2023-11-16 00:00:00+00:00,1756
2023-11-17 00:00:00+00:00,1758
2023-11-19 00:00:00+00:00,1759
2023-11-20 00:00:00+00:00,1786
2023-11-21 00:00:00+00:00,1794
2023-11-22 00:00:00+00:00,1800
2023-11-23 00:00:00+00:00,1803
2023-11-24 00:00:00+00:00,1807
2023-11-25 00:00:00+00:00,1812
2023-11-26 00:00:00+00:00,1819
2023-11-27 00:00:00+00:00,1821
2023-11-28 00:00:00+00:00,1840
2023-11-29 00:00:00+00:00,1849
2023-11-30 00:00:00+00:00,1855
2023-12-01 00:00:00+00:00,1861
2023-12-02 00:00:00+00:00,1863
2023-12-03 00:00:00+00:00,1868
2023-12-04 00:00:00+00:00,1873
2023-12-05 00:00:00+00:00,1876
2023-12-06 00:00:00+00:00,1878
2023-12-07 00:00:00+00:00,1883
2023-12-08 00:00:00+00:00,1887
2023-12-09 00:00:00+00:00,1894
2023-12-10 00:00:00+00:00,1905
2023-12-11 00:00:00+00:00,1914
2023-12-12 00:00:00+00:00,1925
2023-12-13 00:00:00+00:00,1928
2023-12-14 00:00:00+00:00,1935
2023-12-15 00:00:00+00:00,1940
2023-12-16 00:00:00+00:00,1946
2023-12-17 00:00:00+00:00,1954
2023-12-18 00:00:00+00:00,1962
2023-12-19 00:00:00+00:00,1971
2023-12-20 00:00:00+00:00,1977
2023-12-21 00:00:00+00:00,1982
2023-12-22 00:00:00+00:00,1991
2023-12-23 00:00:00+00:00,1996
2023-12-24 00:00:00+00:00,1997
2023-12-25 00:00:00+00:00,1998
2023-12-26 00:00:00+00:00,2002
