time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-27 00:00:00+00:00,221,14,95,34
2025-03-28 00:00:00+00:00,741,62,418,91
2025-03-29 00:00:00+00:00,19,7,66,25
2025-03-30 00:00:00+00:00,3,3,46,28
2025-03-31 00:00:00+00:00,1185,88,384,57
2025-04-01 00:00:00+00:00,411,51,305,66
2025-04-02 00:00:00+00:00,748,109,520,107
2025-04-03 00:00:00+00:00,939,76,646,199
2025-04-04 00:00:00+00:00,1147,78,510,148
2025-04-05 00:00:00+00:00,45,10,149,54
2025-04-06 00:00:00+00:00,11,6,89,29
2025-04-07 00:00:00+00:00,661,73,435,102
2025-04-08 00:00:00+00:00,642,48,427,73
2025-04-09 00:00:00+00:00,1350,78,672,128
2025-04-10 00:00:00+00:00,1090,64,484,82
2025-04-11 00:00:00+00:00,296,34,268,78
2025-04-12 00:00:00+00:00,83,10,119,26
2025-04-13 00:00:00+00:00,138,19,56,27
2025-04-14 00:00:00+00:00,1550,89,854,123
2025-04-15 00:00:00+00:00,514,41,399,75
2025-04-16 00:00:00+00:00,542,41,374,81
2025-04-17 00:00:00+00:00,877,69,341,86
2025-04-18 00:00:00+00:00,724,57,450,72
2025-04-19 00:00:00+00:00,8,7,40,28
2025-04-20 00:00:00+00:00,47,11,25,19
2025-04-21 00:00:00+00:00,100,15,119,38
2025-04-22 00:00:00+00:00,520,50,284,56
2025-04-23 00:00:00+00:00,7,4,262,44
2025-04-24 00:00:00+00:00,499,60,317,77
2025-04-25 00:00:00+00:00,47,10,199,46
2025-04-26 00:00:00+00:00,47,13,83,23
2025-04-27 00:00:00+00:00,9,6,68,29
2025-04-28 00:00:00+00:00,276,35,315,66
2025-04-29 00:00:00+00:00,337,39,238,81
2025-04-30 00:00:00+00:00,1429,96,298,94
2025-05-01 00:00:00+00:00,172,22,161,58
2025-05-02 00:00:00+00:00,288,34,149,44
2025-05-03 00:00:00+00:00,13,9,24,20
2025-05-04 00:00:00+00:00,4,4,26,23
2025-05-05 00:00:00+00:00,1360,95,284,75
2025-05-06 00:00:00+00:00,1805,134,500,105
2025-05-07 00:00:00+00:00,1606,103,599,148
2025-05-08 00:00:00+00:00,1064,87,559,110
2025-05-09 00:00:00+00:00,1521,81,352,103
2025-05-10 00:00:00+00:00,11,6,51,26
2025-05-11 00:00:00+00:00,26,11,166,29
2025-05-12 00:00:00+00:00,1035,81,673,117
2025-05-13 00:00:00+00:00,1399,102,653,144
2025-05-14 00:00:00+00:00,1655,112,912,155
2025-05-15 00:00:00+00:00,1239,107,598,125
2025-05-16 00:00:00+00:00,1639,111,460,113
2025-05-17 00:00:00+00:00,25,11,49,26
2025-05-18 00:00:00+00:00,27,15,58,32
2025-05-19 00:00:00+00:00,2151,120,873,129
2025-05-20 00:00:00+00:00,1397,102,532,122
2025-05-21 00:00:00+00:00,886,83,340,87
2025-05-22 00:00:00+00:00,545,66,353,98
2025-05-23 00:00:00+00:00,693,49,226,72
